City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hami,42.8,93.45,299.66,21,99,3.26,CN,1715239817
1,port-aux-francais,-49.35,70.2167,278.63,79,39,10.97,TF,1715239817
2,dhankuta,26.9833,87.3333,300.31,31,71,4.72,NP,1715239817
3,edinburgh of the seven seas,-37.0676,-12.3116,287.29,66,92,13.54,SH,1715239817
4,kailua-kona,19.6406,-155.9956,299.13,94,40,4.63,US,1715239818
5,bichura,50.5881,107.6022,292.13,32,72,4.58,RU,1715239818
6,strezhevoy,60.7333,77.5889,280.35,88,100,5.36,RU,1715239818
7,port saint john's,-31.6229,29.5448,296.17,65,1,0.59,ZA,1715239818
8,olonkinbyen,70.9221,-8.7187,270.1,89,100,14.66,SJ,1715239818
9,waitangi,-43.9535,-176.5597,282.49,71,100,3.91,NZ,1715239819
10,kisangani,0.5167,25.2,303.02,64,100,1.13,CD,1715239819
11,grytviken,-54.2811,-36.5092,270.06,69,16,2.23,GS,1715239819
12,maych'ew,12.7875,39.5422,294.58,54,23,3.71,ET,1715239819
13,saipan,15.1355,145.701,302.54,84,40,4.63,MP,1715239819
14,mitu,1.1983,-70.1733,296.56,99,100,0.34,CO,1715239820
15,caluula,11.9661,50.7569,303.58,70,100,4.99,SO,1715239820
16,isafjordur,66.0755,-23.124,278.17,60,75,6.17,IS,1715239820
17,el nido,11.1858,119.3956,304.09,68,100,5.09,PH,1715239820
18,yellowknife,62.456,-114.3525,282.44,65,75,3.09,CA,1715239762
19,sisimiut,66.9395,-53.6735,267.33,79,4,3.46,GL,1715239821
20,margaret river,-33.95,115.0667,295.76,40,100,7.7,AU,1715239821
21,ushuaia,-54.8,-68.3,270.96,93,40,2.57,AR,1715239821
22,general acha,-37.377,-64.6043,279.43,45,1,2.85,AR,1715239821
23,touros,-5.1989,-35.4608,298.0,91,66,3.05,BR,1715239821
24,ribeira grande,38.5167,-28.7,289.37,77,20,3.09,PT,1715239822
25,atafu village,-8.5421,-172.5159,302.87,69,100,1.25,TK,1715239822
26,bozova,37.3625,38.5267,295.66,34,68,2.68,TR,1715239822
27,quiberon,47.4841,-3.1196,287.1,74,100,7.6,FR,1715239822
28,mili,6.0815,171.735,301.4,82,76,5.76,MH,1715239822
29,ust-nera,64.5667,143.2,278.08,71,100,2.55,RU,1715239822
30,bilibino,68.0546,166.4372,272.01,91,8,1.12,RU,1715239823
31,kitimat,54.0524,-128.6534,283.36,71,57,1.34,CA,1715239823
32,iqaluit,63.7506,-68.5145,267.0,79,75,2.57,CA,1715239823
33,tamanrasset,22.785,5.5228,300.1,10,0,2.57,DZ,1715239823
34,luderitz,-26.6481,15.1594,292.54,58,1,6.76,NA,1715239823
35,tobelo,1.7284,128.0095,302.9,64,99,1.49,ID,1715239824
36,broome,42.2506,-75.833,285.71,81,75,4.12,US,1715239824
37,brookings,44.3114,-96.7984,284.88,93,100,3.09,US,1715239756
38,haiku-pauwela,20.9219,-156.3051,295.95,80,20,2.57,US,1715239824
39,yanbu,24.0891,38.0637,306.17,35,0,2.06,SA,1715239824
40,tabas,33.5959,56.9244,301.07,26,0,7.08,IR,1715239824
41,poisy,45.9231,6.0644,285.32,76,100,1.03,FR,1715239825
42,avarua,-21.2078,-159.775,300.18,94,75,4.12,CK,1715239825
43,albany,42.6001,-73.9662,287.38,77,10,0.89,US,1715239666
44,fort bragg,35.139,-79.006,294.06,90,0,2.06,US,1715239825
45,saint-philippe,-21.3585,55.7679,300.92,82,83,6.99,RE,1715239825
46,bethel,41.3712,-73.414,288.74,83,0,0.0,US,1715239825
47,vila velha,-20.3297,-40.2925,296.45,97,20,0.45,BR,1715239826
48,wloclawek,52.6482,19.0678,286.41,50,39,1.47,PL,1715239826
49,blackmans bay,-43.0167,147.3167,285.78,93,98,0.72,AU,1715239826
50,naze,28.3667,129.4833,292.66,57,49,5.86,JP,1715239826
51,pitimbu,-7.4706,-34.8086,297.48,86,44,2.96,BR,1715239826
52,college,64.8569,-147.8028,284.14,58,75,3.09,US,1715239827
53,bitkine,11.9801,18.2138,312.13,8,15,7.13,TD,1715239827
54,georgetown,5.4112,100.3354,306.12,69,20,4.63,MY,1715239827
55,balykshi,47.0667,51.8667,286.15,35,0,7.0,KZ,1715239827
56,conception bay south,47.4999,-52.9981,278.1,94,99,2.0,CA,1715239827
57,polyarnyy,69.1989,33.4478,272.25,78,96,3.57,RU,1715239828
58,summerside,46.3959,-63.7876,278.22,93,100,7.2,CA,1715239828
59,winnemucca,40.973,-117.7357,278.74,52,0,2.03,US,1715239600
60,kolwezi,-10.7148,25.4667,296.15,41,100,6.63,CD,1715239828
61,west island,-12.1568,96.8225,303.14,70,100,5.66,CC,1715239828
62,papatowai,-46.5619,169.4708,281.24,75,72,6.14,NZ,1715239829
63,puerto ayora,-0.7393,-90.3518,296.79,98,100,0.89,EC,1715239829
64,pokrov,55.92,39.1769,273.4,50,100,6.48,RU,1715239829
65,sao raimundo nonato,-9.0153,-42.6994,293.45,84,2,1.05,BR,1715239829
66,adamstown,-25.066,-130.1015,294.73,78,86,2.2,PN,1715239829
67,bosaso,11.2842,49.1816,308.14,52,0,9.77,SO,1715239829
68,nemuro,43.3236,145.575,276.99,79,97,4.11,JP,1715239830
69,carnarvon,-24.8667,113.6333,297.83,55,100,4.81,AU,1715239830
70,chimbote,-9.0853,-78.5783,291.96,92,92,2.5,PE,1715239830
71,prainha,-1.8,-53.48,296.11,99,52,1.11,BR,1715239830
72,gobabis,-22.45,18.9667,298.04,27,12,9.63,NA,1715239830
73,wailua homesteads,22.0669,-159.378,295.59,78,75,4.12,US,1715239831
74,thompson,55.7435,-97.8558,277.24,70,40,1.03,CA,1715239831
75,ji'an,27.1172,114.9793,295.67,75,100,3.83,CN,1715239831
76,hithadhoo,-0.6,73.0833,302.58,75,100,4.79,MV,1715239831
77,ancud,-41.8697,-73.8203,282.25,74,100,6.21,CL,1715239831
78,port elizabeth,-33.918,25.5701,294.44,76,100,3.09,ZA,1715239832
79,takum,7.2667,9.9833,302.39,69,100,1.75,NG,1715239832
80,tiksi,71.6872,128.8694,271.99,82,96,2.33,RU,1715239832
81,kalmunai,7.4167,81.8167,304.55,63,97,3.49,LK,1715239832
82,sao joao do paraiso,-15.3136,-42.0144,287.46,97,0,1.38,BR,1715239832
83,puerto natales,-51.7236,-72.4875,272.77,98,96,0.8,CL,1715239833
84,invercargill,-46.4,168.35,282.05,79,86,3.58,NZ,1715239833
85,medina,24.4686,39.6142,304.39,11,0,6.17,SA,1715239761
86,talakan,50.3167,130.3667,287.41,20,5,7.49,RU,1715239833
87,ondjiva,-17.0667,15.7333,298.17,57,8,3.6,AO,1715239833
88,waingapu,-9.6567,120.2641,301.56,66,41,5.72,ID,1715239834
89,tabou,4.423,-7.3528,301.6,80,93,1.03,CI,1715239834
90,poli,-3.3333,36.8,290.58,88,75,4.12,TZ,1715239834
91,bredasdorp,-34.5322,20.0403,289.2,65,0,1.94,ZA,1715239834
92,harper,4.375,-7.7169,301.15,83,100,1.38,LR,1715239834
93,flying fish cove,-10.4217,105.6791,300.97,83,100,5.66,CX,1715239834
94,lihue,21.9789,-159.3672,295.92,78,75,4.12,US,1715239835
95,dikhil,11.5,42.1667,305.94,44,63,3.18,DJ,1715239835
96,toliara,-23.35,43.6667,301.61,46,0,1.99,MG,1715239835
97,ilulissat,69.2167,-51.1,269.16,80,100,3.09,GL,1715239835
98,cuyo,10.8525,121.0086,303.27,68,39,2.82,PH,1715239835
99,comodoro rivadavia,-45.8667,-67.5,276.07,93,96,1.03,AR,1715239584
100,paradip garh,20.3167,86.6167,306.85,56,10,8.52,IN,1715239836
101,puerto baquerizo moreno,-0.9,-89.6,295.74,89,100,4.4,EC,1715239836
102,ribas do rio pardo,-20.4431,-53.7592,294.31,67,62,1.31,BR,1715239837
